| 标题                                           | 标题链接                                     | 发布日期       |
|----------------------------------------------|------------------------------------------|------------|
| 每个创作者都应该有 GitHub 账号                          | https://blog.tujunjie.com/20230523120206 | 2023/5/23  |
| 哪些事要重复做                                      | https://blog.tujunjie.com/20230515153744 | 2023/5/15  |
| 如何向导师寻求帮助？                                   | https://blog.tujunjie.com/20230508154111 | 2023/5/8   |
| 又到了炫樱桃的季节                                    | https://blog.tujunjie.com/20230501153122 | 2023/5/1   |
| Ai 来了，什么技能最值得我们学？                            | https://blog.tujunjie.com/20230425201744 | 2023/4/25  |
| 想成为创造导向的人，有 3 条建议                            | https://blog.tujunjie.com/20230424222856 | 2023/4/24  |
| 鲁迅教我做人                                       | https://blog.tujunjie.com/20230417134721 | 2023/4/17  |
| 试着不拒绝新体验                                     | https://blog.tujunjie.com/20230410142743 | 2023/4/10  |
| 交易员的日课                                       | https://blog.tujunjie.com/20230525172034 | 2023/2/13  |
| 我性格的弱点，在交易上全部体现                              | https://blog.tujunjie.com/20230207205900 | 2023/2/7   |
| 温柔地进入 2023 年                                 | https://blog.tujunjie.com/20230130205900 | 2023/1/30  |
| 良善和残忍存于一身，这才是我们                              | https://blog.tujunjie.com/20230116210000 | 2023/1/16  |
| 个人大数据：涂俊杰2022年的8760小时                        | https://blog.tujunjie.com/20230111152059 | 2023/1/11  |
| 《哈迪斯》提前预定年度游戏                                | https://blog.tujunjie.com/20230109210312 | 2023/1/9   |
| 2022 年我想过但没做的选题                              | https://blog.tujunjie.com/20221224210601 | 2022/12/24 |
| 2022 年的内容推荐                                  | https://blog.tujunjie.com/20230525173920 | 2022/12/23 |
| 病毒凶猛，大家要注意防护啊                                | https://blog.tujunjie.com/20230525172150 | 2022/12/19 |
| 2022 年我放弃了什么                                 | https://blog.tujunjie.com/20230525172249 | 2022/12/18 |
| 2022 年我的投资收益                                 | https://blog.tujunjie.com/20230525172311 | 2022/12/17 |
| 我的办公桌面和常用软硬件（2022.12）                        | https://blog.tujunjie.com/20230525172333 | 2022/12/16 |
| 我把钱投给他们了（2022）                               | https://blog.tujunjie.com/20230525172350 | 2022/12/15 |
| 得了喉癌的「蝙蝠侠」和 Ai 复活                            | https://blog.tujunjie.com/20230525172409 | 2022/12/15 |
| 2022 年我买了多少东西                                | https://blog.tujunjie.com/20230525172426 | 2022/12/14 |
| 时间在哪，成就在哪（2022）                              | https://blog.tujunjie.com/20230525172451 | 2022/12/13 |
| 你有什么人、财、物、技？                                 | https://blog.tujunjie.com/20230525172510 | 2022/12/12 |
| 2022 年学到的 5 个新技能                             | https://blog.tujunjie.com/20230525172527 | 2022/12/11 |
| 2022 年的 60 件小事                               | https://blog.tujunjie.com/20230525172544 | 2022/12/10 |
| 做自己的面试官                                      | https://blog.tujunjie.com/20230525172603 | 2022/12/9  |
| 三年就练 7 个字                                    | https://blog.tujunjie.com/20230525172619 | 2022/12/8  |
| 我的年度影视剧/游戏/综艺                                | https://blog.tujunjie.com/20230525172653 | 2022/12/7  |
| 你的年度网站是哪个？                                   | https://blog.tujunjie.com/20230525172714 | 2022/12/6  |
| 年报怎么写？                                       | https://blog.tujunjie.com/20230525172736 | 2022/12/5  |
| 2022年读过和想看的书                                 | https://blog.tujunjie.com/20230525172754 | 2022/12/4  |
| 选工具的标准                                       | https://blog.tujunjie.com/20230525172812 | 2022/11/28 |
| 幸福的时候，一个字也不想写                                | https://blog.tujunjie.com/20230525172834 | 2022/11/21 |
| 吃着火锅唱着歌，钱没了                                  | https://blog.tujunjie.com/20230525172912 | 2022/11/14 |
| 创作者的最小系统                                     | https://blog.tujunjie.com/20230525172936 | 2022/11/7  |
| 怎样成为香饽饽？                                     | https://blog.tujunjie.com/20230525172952 | 2022/10/31 |
| 如果你有一块巨大的广告牌，你会写什么？                          | https://blog.tujunjie.com/20230520100018 | 2022/10/24 |
| 从消费者变成创造者                                    | https://blog.tujunjie.com/20230520100601 | 2022/10/17 |
| 没有坏人的《一年一度喜剧大赛》丨马东                           | https://blog.tujunjie.com/20230520101618 | 2022/10/16 |
| 和《新闻编辑室》学说话                                  | https://blog.tujunjie.com/20230520102408 | 2022/10/14 |
| 如何看待刘小样接受《半边天》的采访在 2022 年再次走红？               | https://blog.tujunjie.com/20230524111135 | 2022/10/13 |
| 和《人物》杂志学写年报                                  | https://blog.tujunjie.com/20230520102747 | 2022/10/10 |
| 骚操作亏钱经历                                      | https://blog.tujunjie.com/20230520103205 | 2022/10/5  |
| 他人的故事，是我们内心的延续                               | https://blog.tujunjie.com/20230520103706 | 2022/9/26  |
| 没有信息过载，只有过滤失败                                | https://blog.tujunjie.com/20230520104704 | 2022/9/19  |
| 我们太缺少「自洽」了                                   | https://blog.tujunjie.com/20230520105148 | 2022/9/12  |
| 活着就是不断「证明」自己的过程吗                             | https://blog.tujunjie.com/20230520110136 | 2022/9/5   |
| 还能写点儿什么，日子就没白过                               | https://blog.tujunjie.com/20230520110708 | 2022/8/29  |
| 19 亿网站里，哪个是你                                 | https://blog.tujunjie.com/20230520122340 | 2022/8/28  |
| 创造过程中，自己就出现了                                 | https://blog.tujunjie.com/20230520105902 | 2022/8/22  |
| 播客用无版权音乐分享                                   | https://blog.tujunjie.com/20230520122944 | 2022/8/21  |
| 以张潇雨为方法                                      | https://blog.tujunjie.com/20230520123932 | 2022/8/15  |
| 关于升级笔记系统的思考                                  | https://blog.tujunjie.com/20230520125037 | 2022/7/14  |
| 2022 年上半年总结                                  | https://blog.tujunjie.com/20230520125645 | 2022/7/5   |
| 我从张潇雨身上学到的。                                  | https://blog.tujunjie.com/20230520130346 | 2022/6/15  |
| 3 年后我仍在高频使用的工具                               | https://blog.tujunjie.com/20230520130659 | 2022/6/13  |
| 个人大数据：涂俊杰 2020 年的 8760 小时                    | https://blog.tujunjie.com/20230520131509 | 2022/6/5   |
