Title,Link,Date
AI 10 分钟写万字文，但找不到一个活人,https://blog.tujunjie.com/20250724111032,2025/07/24
普通家长陪娃打造英语启蒙环境的 4 个核心,https://blog.tujunjie.com/20250714223904,2025/07/14
育儿实录 7：记 1 岁女宝的 49 个瞬间,https://blog.tujunjie.com/20250703160027,2025/07/03
和 AI 相处的 5 条经验,https://blog.tujunjie.com/20250702143218,2025/07/02
22 个有趣有用的 GitHub 仓库,https://blog.tujunjie.com/20250611163100,2025/06/11
不写一行代码，用 AI 做 Python 小工具,https://blog.tujunjie.com/20250604143419,2025/06/04
推荐一座丰盛的数字花园：404 KIDS SEE GHOSTS,https://blog.tujunjie.com/20250525230720,2025/05/25
我的 Excel 日记系统,https://blog.tujunjie.com/20250523223326,2025/05/23
有后劲的 6 则历史故事,https://blog.tujunjie.com/20250521183608,2025/05/21
如何打造 AI 驱动的第二大脑,https://blog.tujunjie.com/20250520145101,2025/05/20
跟这 24 位 B 站 Up 主看世界,https://blog.tujunjie.com/20250519174233,2025/05/19
翻开我的 2024,https://blog.tujunjie.com/20250518181506,2025/05/18
AI 给我的 3 条赚钱建议,https://blog.tujunjie.com/20250514184246,2025/05/14
2024 年我的投资收益,https://blog.tujunjie.com/20250513133013,2025/05/13
2024 年的 66 件生活小事,https://blog.tujunjie.com/20250509182651,2025/05/09
15 万条浏览记录，我在刷什么,https://blog.tujunjie.com/20250508145109,2025/05/08
游泳时长两年半的 5 点思考,https://blog.tujunjie.com/20250507130904,2025/05/07
互联网不换灯泡修燃气灶防水堵漏,https://blog.tujunjie.com/20250506155820,2025/05/06
43 个特别关注的信息源,https://blog.tujunjie.com/20250505165406,2025/05/05
哈弗 H6 经典版提车全记录,https://blog.tujunjie.com/20250430181606,2025/04/30
答读者问（4）：你对学习英语的看法？,https://blog.tujunjie.com/20250420214611,2025/04/21
答读者问（3）：人生的意义是什么？,https://blog.tujunjie.com/20250420142644,2025/04/20
答读者问（2）：你觉得最能代表自己的作品是什么？,https://blog.tujunjie.com/20250419134242,2025/04/19
答读者问（1）：如何做出不后悔的选择？,https://blog.tujunjie.com/20250417170557,2025/04/17
张潇雨微博精选 v1.2,https://blog.tujunjie.com/20250301103519,2025/03/01
夫妻之间最重要的,https://blog.tujunjie.com/20250111155523,2025/01/11
回购好物和重看 N 次的影视剧,https://blog.tujunjie.com/20241227205508,2024/12/27
找到你人生的 100 本书,https://blog.tujunjie.com/20241222142936,2024/12/22
不要假装思考,https://blog.tujunjie.com/20241218184007,2024/12/18
重复做这 23 件事,https://blog.tujunjie.com/20241216202758,2024/12/16
抖抖吃灰的文件夹，顺便更新看板,https://blog.tujunjie.com/20241215194756,2024/12/15
这 13 篇永久笔记越读越厚,https://blog.tujunjie.com/20241211170018,2024/12/11
不折腾了，读书笔记我这么做,https://blog.tujunjie.com/20241209224437,2024/12/09
哪些书组成了你,https://blog.tujunjie.com/20241207173859,2024/12/07
4 年不上班什么感觉,https://blog.tujunjie.com/20241204195655,2024/12/04
K 线里的人生：2600 小时的焦虑狂喜和迷茫,https://blog.tujunjie.com/20241124165955,2024/11/24
十年打 5 份工，天胡开局到作茧自缚,https://blog.tujunjie.com/20241110135219,2024/11/10
我的防沉迷系统,https://blog.tujunjie.com/20241105181054,2024/11/05
靠近那个决定性瞬间,https://blog.tujunjie.com/20241104194222,2024/11/04
父亲对我的影响,https://blog.tujunjie.com/20241103205914,2024/11/03
怎么积累写作素材,https://blog.tujunjie.com/20241102150632,2024/11/02
一人公司收钱的 3 种方案,https://blog.tujunjie.com/20241101202353,2024/11/01
人生 7 大关键选择,https://blog.tujunjie.com/20241031135914,2024/10/31
准备在自传里写这 5 个话题,https://blog.tujunjie.com/20241030135621,2024/10/30
限时公开挑战——写自传,https://blog.tujunjie.com/20241028151209,2024/10/28
无实体生意的 3 个关键,https://blog.tujunjie.com/20241023134245,2024/10/23
人人能听懂英文播客的 4 种方法,https://blog.tujunjie.com/20241021200444,2024/10/21
图文演示，无代码采集数据的 3 种方法,https://blog.tujunjie.com/20241019175947,2024/10/19
放弃曾经苦学的技能,https://blog.tujunjie.com/20241018173947,2024/10/18
育儿实录 6：自用新生儿好物（0~3 月龄）,https://blog.tujunjie.com/20240914150201,2024/09/14
育儿实录 5：新爸爸上岗培训,https://blog.tujunjie.com/20240911190251,2024/09/11
育儿实录 4：孕期最心疼老婆的时刻,https://blog.tujunjie.com/20240909134557,2024/09/09
育儿实录 3：怀胎十月要跑多少趟医院,https://blog.tujunjie.com/20240907105001,2024/09/07
育儿实录 2：带孩子也没那么可怕,https://blog.tujunjie.com/20240818162708,2024/08/18
育儿实录 1：不要让老婆独自面对生育,https://blog.tujunjie.com/20240812203934,2024/08/12
有娃之后的变化,https://blog.tujunjie.com/20240721161000,2024/07/21
五斤三两，母女平安,https://blog.tujunjie.com/20240714140818,2024/07/14
鉴 A 股以往而知未来,https://blog.tujunjie.com/20240630174805,2024/06/30
如何自制一本杂志,https://blog.tujunjie.com/20240627184916,2024/06/27
请贡献 1 个财富密码,https://blog.tujunjie.com/20240625153043,2024/06/25
回答范冰的 5 个问题,https://blog.tujunjie.com/20240623162520,2024/06/23
你有什么厕所读物,https://blog.tujunjie.com/20240622150105,2024/06/22
工作近 10 年，我靠这 9 个技能包,https://blog.tujunjie.com/20240621212051,2024/06/21
我对未来的预测,https://blog.tujunjie.com/2024062081547,2024/06/20
给小孩取名的思路,https://blog.tujunjie.com/20240619105456,2024/06/19
我的 5 位老师,https://blog.tujunjie.com/20240610194409,2024/06/10
对李笑来最重要的书和方法论,https://blog.tujunjie.com/20240608151842,2024/06/08
李笑来是怎么发家致富的,https://blog.tujunjie.com/20240606152817,2024/06/06
假如家人接管你的投资账户,https://blog.tujunjie.com/20240605220310,2024/06/05
李笑来的财富密码不再是 GAFATA,https://blog.tujunjie.com/20240605145858,2024/06/05
李笑来对我最大的影响,https://blog.tujunjie.com/20240604144703,2024/06/04
第五次读《财富自由之路》,https://blog.tujunjie.com/20240603220812,2024/06/03
30 岁重读初中历史,https://blog.tujunjie.com/20240202162540,2024/02/02
听了 40 个小时《史记》的故事,https://blog.tujunjie.com/20240112202401,2024/01/12
成人再读书的 7 个步骤,https://blog.tujunjie.com/20240107152426,2024/01/07
清空已购书单,https://blog.tujunjie.com/20240105203641,2024/01/05
个人大数据：涂俊杰 2023 年的 8760 小时,https://blog.tujunjie.com/20240104175320,2024/01/04
2023 年度关键词：人物,https://blog.tujunjie.com/20240103140046,2024/01/03
7 年，终于把公众号名字改了,https://blog.tujunjie.com/20231230162246,2023/12/30
遇事不决照着干，德雷克 31 条操作指南,https://blog.tujunjie.com/20231229134833,2023/12/29
德雷克 39 条与众不同的反常识,https://blog.tujunjie.com/20231228100638,2023/12/28
德雷克博文里 7 个过目不忘的比喻,https://blog.tujunjie.com/20231227124223,2023/12/27
Derek Sivers 给我的 4 个启发,https://blog.tujunjie.com/20231222203614,2023/12/22
最爱的 4 篇 Derek Sivers 博文,https://blog.tujunjie.com/20231221202853,2023/12/21
我从 Derek Sivers 身上学到的,https://blog.tujunjie.com/20231221141425,2023/12/21
如何创造你的智囊团,https://blog.tujunjie.com/20231215153752,2023/12/15
2023 放弃的 2 项待办,https://blog.tujunjie.com/20231209191824,2023/12/09
2023 平均每天搜索 55 次,https://blog.tujunjie.com/20231208193448,2023/12/08
我把钱投给他们了（2023）,https://blog.tujunjie.com/20231208154643,2023/12/08
考古 84000 最受欢迎的 30 篇帖子,https://blog.tujunjie.com/20231207182349,2023/12/07
2023 年我买了多少东西,https://blog.tujunjie.com/20231207152430,2023/12/07
每年备份这 8 种生产资料,https://blog.tujunjie.com/20231206211704,2023/12/06
用滴答清单管理我的 9 条人生主线,https://blog.tujunjie.com/20231206171006,2023/12/06
3 道懒人快手菜,https://blog.tujunjie.com/20231205213458,2023/12/05
推荐 5 篇我 2023 年写的文章,https://blog.tujunjie.com/20231205121328,2023/12/05
2023 我的收入从哪儿来？,https://blog.tujunjie.com/20231204174350,2023/12/04
2023 去的 5 座城市,https://blog.tujunjie.com/20231204151530,2023/12/04
2023 年继续打磨的 4 项技能,https://blog.tujunjie.com/20231203154412,2023/12/03
2023 我常逛这 2 个社群,https://blog.tujunjie.com/20231202182752,2023/12/02
2023 年度游戏/综艺/动漫,https://blog.tujunjie.com/20231201200534,2023/12/01
考古 @张潇雨 最受欢迎的 30 篇星球帖子,https://blog.tujunjie.com/20231130160142,2023/11/30
交易 2 年的 12 条经验,https://blog.tujunjie.com/20231129171429,2023/11/29
