发布时间,书名,标题,豆瓣评分,书评链接
2020/8/19 14:55,工薪族财务自由说明书,明确“财务自由”是什么，才有可能财务自由！,5,https://book.douban.com/review/12812045/
2018/10/30 20:23,现在就干,我心里人生赢家,3,https://book.douban.com/review/9733840/
2018/10/30 13:18,彼得.林奇的成功投资,进股市前读过这本书也不至于输太惨,5,https://book.douban.com/review/9733226/
2018/10/10 20:44,好好赚钱,想致富先脱贫,4,https://book.douban.com/review/9698012/
2018/9/24 17:30,从一无所有到财富自由(60天财商养成计划),更推荐“越女事务所”,3,https://book.douban.com/review/9667568/
2018/9/24 12:51,99%的人一看就会的理财书,最好的理财计划只能由你做出,4,https://book.douban.com/review/9667153/
2018/9/16 16:37,吃掉那只青蛙,定目标，列清单，专注要事,5,https://book.douban.com/review/9653790/
2018/9/9 16:13,极速写作,“说”作，让写作效率提高100倍,4,https://book.douban.com/review/9642221/
2018/8/24 15:22,财富自由之路,如果为了黑而黑，你可能会错过一本好书！,5,https://book.douban.com/review/9612900/
2018/7/28 19:19,智识分子,成年人看利弊,3,https://book.douban.com/review/9546863/
2018/7/15 20:54,流量池,这不就是梅花网合集吗？,3,https://book.douban.com/review/9519710/
2018/7/12 23:57,跃迁,普通人需要了解思考方式,4,https://book.douban.com/review/9511192/
2018/6/7 21:04,洛克菲勒写给儿子的38封信,不行动，任何道理也没用,4,https://book.douban.com/review/9419216/
2018/6/2 19:58,高效能人士的七个习惯,道理太密集，可以放书架，常读常新,3,https://book.douban.com/review/9409577/
2018/5/15 22:17,白说,真正的稳定是在动态中平衡,5,https://book.douban.com/review/9370522/
2018/5/6 12:20,决战大数据（升级版）,理论多过案例，如果看不下去，及时弃,3,https://book.douban.com/review/9347816/
2018/4/3 14:34,Evernote 100个做笔记的好方法,数字化生活不该纠结工具,4,https://book.douban.com/review/9269647/
2017/11/26 19:32,暖食,吃的是美食，暖的是心灵,4,https://book.douban.com/review/8947734/
2017/11/14 11:17,许三观卖血记,亲情是一路磨砺，相互扶持,5,https://book.douban.com/review/8923058/
2017/11/5 22:23,目送,珍惜当下每件事，每个人,4,https://book.douban.com/review/8906408/
2017/11/2 17:27,文案圣经,广告的唯一目的就是销售,5,https://book.douban.com/review/8899887/
2017/10/30 23:41,运营之光,有所思，有所获，有所得，这本黄书，值了,5,https://book.douban.com/review/8895617/
2017/10/22 17:05,活着,不求你好，不咒你苦，只希望你好好活着,5,https://book.douban.com/review/8879975/
2017/10/15 18:24,运营制胜,运营人系统入门书,5,https://book.douban.com/review/8867235/
2017/9/10 17:49,佐藤可士和的超整理术,从设计角度看营销,3,https://book.douban.com/review/8806535/
2017/6/18 16:34,全栈市场人,只推荐刚入行的互联网新人阅读,3,https://book.douban.com/review/8610761/
2017/6/11 22:43,人类简史,从动物到被上帝,5,https://book.douban.com/review/8596413/
2017/6/10 17:03,三体全集,心怀敬畏，好好活着,5,https://book.douban.com/review/8593460/
2017/4/30 22:20,腾讯传,如何变成一家受人尊敬的互联网公司,4,https://book.douban.com/review/8510920/
2017/3/25 13:06,好习惯Get，时间Max！,一些让我变得更好的小技巧,4,https://book.douban.com/review/8436152/
2017/3/24 20:05,刻意练习,你在天真的练习还是刻意练习？,3,https://book.douban.com/review/8434790/
2017/2/21 18:05,成龙：还没长大就老了,每个圣人都有过去,4,https://book.douban.com/review/8375405/
2016/12/20 11:24,结网,PM入门，干货满满,5,https://book.douban.com/review/8241468/
2016/12/14 11:05,从0到1,未来并非自行发生，它需要我们开创,3,https://book.douban.com/review/8227553/
2016/12/8 15:07,创业维艰,个体经验无法复制，没人能教你,5,https://book.douban.com/review/8217118/
2016/11/24 11:05,精进,帮你拆掉思维的墙,5,https://book.douban.com/review/8192163/
2016/11/17 16:01,精益数据分析,精益创业里的数据迷信,5,https://book.douban.com/review/8179392/
2016/11/8 17:00,异类,成功=才智+社会环境+机遇+勤奋,4,https://book.douban.com/review/8163268/
2016/10/26 17:25,关键对话,“意识到错误”就是最大的收获,5,https://book.douban.com/review/8145006/
2016/10/18 16:02,卓有成效的管理者,每个人都可以成为卓有成效的管理者,5,https://book.douban.com/review/8134318/
2016/10/17 18:03,学会提问,批判性思维是什么？,5,https://book.douban.com/review/8133285/
2016/9/25 7:45,随遇而安,孟非的平衡之道,3,https://book.douban.com/review/8100432/
2016/9/13 18:12,启示录,PM入门丨5年过去，学习那些被时间留下来的东西,3,https://book.douban.com/review/8083641/
2016/9/9 16:37,超级符号就是超级创意,单个项目咨询费超1000万，贵得有理,5,https://book.douban.com/review/8078205/
2016/9/6 17:28,新媒体营销圣经（全彩）,“圣经”过誉，但有所感，有所得,3,https://book.douban.com/review/8074684/
